term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
age,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999749,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.133527547162299,0.9164724528365915,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994868,0.025,0.025,0.025,0.025,0.025,0.025
agendas,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999388,0.025,0.025,0.025,0.025,0.025,0.025,0.025
agent,0.025,0.025,0.025,0.025,0.025,1.0249999999995643,0.025,0.025,2.0249999999997255,0.025,0.025,0.025,1.0249999999995691,0.025000000000000012,4.560728248027932,1.0249999999993873,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999552,0.025,0.025,0.025,0.025,2.024999999998841,0.025,2.489271751971361,0.025
agents,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996364,0.025,0.025,0.025,0.025,0.025,2.024999999999297,0.025,0.025,1.0249999999995707,0.025,0.025,0.025,0.025,0.025,1.0249999999996164,0.025,0.025,0.025,0.025,0.025,0.025,3.0249999999994133,0.025,0.025,0.025,0.025,0.025000000000000005,0.025
ago,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,1.0249999999995627,0.025,1.024999999998973,0.025,1.024999999999631,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
agony,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.0249999999991397,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ah,1.3370460649339377,0.9404124091316182,0.025,0.025,1.881559596200252,1.3763121297000092,0.025,0.025,3.6797639775976934,2.253120067324723,3.8209416814961674,4.916242048202484,0.025,0.025,0.025,0.025,1.024999999999592,0.025000000000000005,0.025,0.025,2.259749228964689,4.7441370622517525,0.025,1.0249999999996326,0.025,0.025,0.025,1.024999999999596,22.484265315414973,0.025,0.025,0.025,1.7044208846435198,0.025,0.025,0.025,1.0327811227014196,0.9192484114309688,0.025,0.025
ah ah,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999997534,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ah hes,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999995816,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ahem,0.025,1.0249999999994825,0.025,0.025,0.025,0.025,2.0249999999996504,0.025,0.025,0.025,0.025,3.02499999999944,1.024999999999448,1.0249999999995623,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,1.0249999999995574,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995596,1.0249999999992647,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025
ahh,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0813283362153903,0.025,5.024999999999081,0.025,1.9686716637837423,1.0249999999994026,0.025,0.025,0.025,1.024999999999412,0.025,0.025,0.025,0.025,0.025,1.0249999999996722,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ahhh,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994304,0.025,0.025,2.0249999999993773,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995099,2.0249999999994057,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025
ahhhhh,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,5.024999999999696,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ahhhhhhh,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.024999999999728,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ahhhhhhh ahhhhhhh,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999997033,0.025,0.025,0.025,0.025,0.025,0.025,0.025
aim,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999409,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
aint,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,4.024999999999329,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995558,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996589,0.025,0.025,0.025,1.024999999999311,0.025,0.025,0.025000000000000005,1.0249999999994217,0.025,0.025
