term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
aboard,0.004173697400379546,-0.025259664774512348,0.009042419733402238,-0.013870915953512131,0.03002594348274239,-0.03464913139160247,0.022662558012650533,0.028492491775097613,-0.021498371486189112,-0.005521291899356775
abominable,0.015201237663813715,-0.013928719581566993,-0.02626193202088638,-0.003465091021519263,-0.0020101352640024685,0.015301812047212813,-0.0022276558547318463,0.0005209282388981656,0.00891467404930967,-0.003812632470812041
about,0.005150312992617395,0.005622653460131439,0.0024862248488833017,0.002323766205494588,0.0011723467798188995,-0.0005183419260208217,-0.001056375088318035,-0.00043056379739948527,0.0014206776996448776,-0.0010352913847151185
above,-0.009362219751912582,-0.01730037377288553,0.019582284014862363,0.02307869239996112,0.022226282269011844,0.021809302236679578,-0.005647843240160654,0.0005534467726521924,0.002151220201527517,-0.02037268463734127
absolute,-0.007630731891030565,-0.00193770714204831,0.015675374255922737,-0.035485946375934274,-0.014752092186990909,0.01907286915094408,0.006855186461627202,-0.02036594016082392,0.026385049178367013,-0.005136462226989993
absolutely,0.015040362588780441,-0.011341665751216212,0.029546804830896663,-0.0047600540976107265,-0.0026917243724180885,-0.010930327862672095,-0.01914765811788902,0.03542325546574855,-0.011220633723510879,0.02415523177722683
accent,-0.005339290928830103,-0.004998759603545651,0.026014707217353356,-0.020375661119637532,0.019653850786513206,-0.017536597613067452,0.024977558916933044,0.022982012500265707,-0.01308954634493275,0.008269938797146137
accept,-0.020803340601683228,-0.023793347049099543,0.011405574817844231,0.01488350872416012,-0.013423486027366413,-0.0006507354535589204,0.006749447610949774,0.002747512003931732,-0.02285973945322862,-0.00853999239697926
access,-0.03138044390981767,-0.02239663544760419,0.0006902015110232798,0.014199519061761857,-0.014028144905436694,-0.017668502016987577,-0.00700799739106893,-0.010887410383165817,0.02368029261295751,-0.010205545682659663
accident,-0.004142383544091088,-0.010296210192443157,6.017693026983198e-05,0.0234574236197921,-0.016823907842648617,-0.0056561310869342,0.017922367387228955,0.010267272330853398,0.005965088592865067,-0.019358860762005155
accomplished,-0.006164496342890794,-0.0011972603721250585,0.008016292256185897,0.007177625039674356,-0.002251261657010336,0.02171488443610664,0.011556935700949353,-0.0005446568826429612,-0.030257320499590637,0.008147914913470208
accords,-0.009724935066090078,-0.010754597123929361,0.013403316985827824,-0.002780912765783923,0.01639886544742683,0.014329156010024196,-0.0008113399997661267,-0.010598409212629237,-0.014537082511560905,0.009771427340831824
accounting,0.004069389271004517,-0.019410499383425636,-0.01301210997154792,-0.0024690516585433747,-0.017085951257697917,-0.011681760549145954,-0.008150644335934891,-0.01311318041238338,-0.009804698547927563,-0.0034692428394754514
ace,-0.007570718458636093,-0.010085843559915347,-0.012969286573033902,-0.001922987940533409,0.008094588206186843,-0.01084946928671018,0.004615249804324015,-0.0029773416880441114,0.0166075030608066,-0.024004391957321465
acquired,-0.03432543160397088,0.0006411276949270539,-0.00030088100242472385,0.0011578669635043184,-0.01269845702202434,-0.016227991218186716,-0.009760723983915602,-0.00681002549435024,0.00567763386849971,-0.010915026625953436
across,0.00117108865728076,0.006083551236410881,0.005796496127188739,-0.01842580866656944,-0.00579452289171386,-0.01233960555135489,-0.021008724958780266,0.02870355784159455,0.0005711133013903695,0.01873235290046867
act,0.0010265264374610364,0.0374277645792811,-0.008135550578366998,0.0071461365980931,-7.70870761129287e-05,0.022667984537331164,-0.007087400832154207,-0.0035742118969087117,-0.003041586329704216,-0.03104189239261851
acting,0.011445898926030703,0.02000666422817813,0.015719568867998447,-0.0029860926964707527,0.03629685309779292,-0.012904189888345482,-0.019555505094347586,0.023116968341337304,0.01572534443606111,0.0314400895322942
action,-0.006846724088766538,-0.014998386671452252,-0.012288558352843211,0.01630382990680457,-0.020509215130074,0.006738479467679973,0.022193993112760643,0.006107327643850946,-0.02369910105822782,-0.020533928110564755
actions,-0.014618855054930588,0.015536533212800288,0.016607002045528396,0.024536929900047116,-0.009254324902021563,0.004747629007385297,0.0030253223415272973,-0.015202444765726825,-0.019200836044879006,-0.006003964958117417
activate,-0.04006182842326876,0.014907611664348676,-0.024730130021189196,-0.0033701932362213576,-0.012811870844844656,0.0027569395143393475,-0.005732279354792684,0.009823048924680914,-0.0045555241826714145,0.017969448603050178
active,-0.013316757402367688,-0.02172101483364956,-0.003593617313223122,0.007790468544758753,-0.009497479871227574,0.011699103318693675,0.01430281858064458,-0.012377565460857965,0.015244756760934161,0.007222542088042983
actually,0.013299728427865446,0.013665957300327415,0.0025184484782748784,-0.0005552327623626828,0.010010091286326375,0.0013194023270230394,-0.000995843328974777,0.00025083861186047074,-0.0008446291393169585,0.0004939506054621593
add,0.008617145281667552,0.008344120907415832,0.020739614240553688,-0.0029079464276425566,0.007650623915566569,-0.028209925339172697,0.01000351413361918,-0.0016327212659483078,-0.037983943292068834,0.02121555677456371
